idx,config_id,true_energy,oob_model_count,energy_std_oob,source
173,ab42dc9ee038994d29ba5c03b5499e8b31e5dc4b,-64251.53515625,2,0.08466598257335742,bi11-3
174,f85b8fe79a88dffc7aa25efe0c5544e080f79b12,-64251.3515625,5,0.10796021757328987,bi11-3
175,b1899174528c1caf497adabd3f2e9a78e59e0bd6,-64251.296875,4,0.06856894867587106,bi11-3
176,96bec1495b5eb66c7bba9d88168c90502f8cc126,-64250.609375,3,0.14913217668893838,bi11-3
177,c402d06a0b936a29eba11f7a32605c69c28a5ec0,-64250.98046875,3,0.08306867257947724,bi11-3
178,3b58f2ae20329cc91af8c27d2939a43db4eca83d,-64251.75390625,2,0.06721891247580793,bi11-3
179,9ec6350510061e4011ff9e4b038ab5943b2a23fd,-64251.71484375,3,0.08466122817200086,bi11-3
180,d92eea82c7a57ec691d67ff45d2ca6fba9a0b31b,-64251.390625,2,0.12131165362720732,bi11-3
181,f8fb1d9bdafcf6399294e7c16c6a8d60806ef756,-64251.4140625,1,0.0,bi11-3
182,57502175aacdda9c68ba9a154a1d659d3abaa705,-64250.984375,2,0.05416942818088024,bi11-3
183,25fee12817709fb52c142a0b39fa0ef435e89395,-64251.68359375,4,0.06940972001757358,bi11-3
184,e391b4e09c8daea4dff434b5f130f4eade4ae51e,-64251.40625,2,0.15795221494161196,bi11-3
185,97eddbe2832422fc4837b6980c95aa772a44e705,-64251.55078125,4,0.12311142499267735,bi11-3
186,91e2e7e761703ce42461ff43d81e10d17e9d7ff3,-64251.9453125,3,0.10978413521709067,bi11-3
187,0186023efb37bb5d53a5ad1d5a79408bc3181e2c,-64251.609375,5,0.1090862882878745,bi11-3
188,cfe908930da7cc88283fa4d55373582713b4de79,-64251.6953125,5,0.10797392109530067,bi11-3
189,8a7a6a304249bbf32dd048bc6e734e931615f424,-64251.7109375,5,0.10900869674330205,bi11-3
190,7b5019b6b79fe35776ce76a4f600ce07104971d3,-64251.74609375,2,0.07829142582006493,bi11-3
191,f2434a5c8073e23a7e74a4eb61195b300fffa519,-64251.70703125,5,0.10899080387545369,bi11-3
192,a887887dbf3a70840c83aba3fb7454077b5879c0,-64251.52734375,0,,bi11-3
193,21d6ea10357452e713b3a0313b313e7fdbdcbb7e,-64250.6015625,2,0.08958228389191754,bi11-3
194,49aef20b0e35f0c360221b588d86887fc8afda39,-64251.15625,5,0.10708413784069522,bi11-3
195,91d71fb62b1fbe674f5c434df553fbd7221e2cf2,-64250.93359375,2,0.11759554559455668,bi11-3
196,4dcccbc9bfd30e827d310081bba9ad0ac2b2fb3f,-64251.41015625,3,0.08355969690570235,bi11-3
197,e60a4451babbacf20c74cc703cf54dfa1fc8e791,-64251.46484375,2,0.0440693088926658,bi11-3
198,8f43400fa300022383f88e97dc521a5cb3e55bfe,-64251.734375,3,0.047193389457597136,bi11-3
199,ac253adb840016c3238360f881d401dc5abdca42,-64251.15625,3,0.04728734655966261,bi11-3
200,e860d297bde166cbc00f91f0a16783fa7f719669,-64251.3515625,2,0.05127207056394228,bi11-3
201,c378adb96f2a91af6c23376cedbd2ac80af8a623,-64251.2265625,3,0.08611949435728863,bi11-3
202,0f2a952cfd521cfcb861c52f437aeb2474c1ec3b,-64251.59765625,4,0.06995862483670913,bi11-3
